alpha,p1,p2,mse,l0,experiment
0.0,0.0010120851,8.106701e-06,0.4544928,44.0,Congruent (Paris-Lyon)
0.05,0.0008295587,1.2050408e-05,0.45842373,42.0,Congruent (Paris-Lyon)
0.1,0.0006606335,1.7580824e-05,0.4814644,44.0,Congruent (Paris-Lyon)
0.15000000000000002,0.0005127946,2.5219291e-05,0.52291036,40.0,Congruent (Paris-Lyon)
0.2,0.0003895436,3.5660916e-05,0.58055466,38.0,Congruent (Paris-Lyon)
0.25,0.00029083635,4.983811e-05,0.6548905,37.0,Congruent (Paris-Lyon)
0.30000000000000004,0.00021426388,6.899667e-05,0.7453208,35.0,Congruent (Paris-Lyon)
0.35000000000000003,0.00015628878,9.477649e-05,0.8529909,36.0,Congruent (Paris-Lyon)
0.4,0.00011318045,0.00012929349,0.97800946,36.0,Congruent (Paris-Lyon)
0.45,8.153723e-05,0.00017520541,1.1211843,36.0,Congruent (Paris-Lyon)
0.5,5.851672e-05,0.0002357356,1.2579101,41.0,Congruent (Paris-Lyon)
0.55,4.1868716e-05,0.000314623,1.3920113,42.0,Congruent (Paris-Lyon)
0.6000000000000001,2.9874933e-05,0.00041593635,1.4969786,42.0,Congruent (Paris-Lyon)
0.65,2.1255471e-05,0.0005437103,1.5586423,47.0,Congruent (Paris-Lyon)
0.7000000000000001,1.5072067e-05,0.0007013722,1.6093578,47.0,Congruent (Paris-Lyon)
0.75,1.0644262e-05,0.0008909829,1.6388493,52.0,Congruent (Paris-Lyon)
0.8,7.4812397e-06,0.0011123948,1.6064917,56.0,Congruent (Paris-Lyon)
0.8500000000000001,5.2295886e-06,0.0013625639,1.4921856,62.0,Congruent (Paris-Lyon)
0.9,3.6345034e-06,0.0016352859,1.3625321,68.0,Congruent (Paris-Lyon)
0.9500000000000001,2.5114803e-06,0.0019215051,1.230261,74.0,Congruent (Paris-Lyon)
1.0,1.7264286e-06,0.002210282,1.1505222,83.0,Congruent (Paris-Lyon)
0.0,0.0007939029,2.7892647e-06,0.5620652,46.0,Exclusive (Paris-London)
0.05,0.0007562156,4.948837e-06,0.5692785,46.0,Exclusive (Paris-London)
0.1,0.00071103004,8.806884e-06,0.5730665,45.0,Exclusive (Paris-London)
0.15000000000000002,0.00065702404,1.5631822e-05,0.5681773,45.0,Exclusive (Paris-London)
0.2,0.00059383403,2.7504391e-05,0.56568027,46.0,Exclusive (Paris-London)
0.25,0.0005226265,4.768283e-05,0.565544,46.0,Exclusive (Paris-London)
0.30000000000000004,0.00044632284,8.1026265e-05,0.56763816,45.0,Exclusive (Paris-London)
0.35000000000000003,0.0003691897,0.00013445881,0.56919146,45.0,Exclusive (Paris-London)
0.4,0.00029583683,0.00021748706,0.57274294,45.0,Exclusive (Paris-London)
0.45,0.00023006999,0.0003428046,0.57743794,43.0,Exclusive (Paris-London)
0.5,0.00017416009,0.00052694156,0.5841397,43.0,Exclusive (Paris-London)
0.55,0.00012874446,0.0007907339,0.5894064,44.0,Exclusive (Paris-London)
0.6000000000000001,9.3219154e-05,0.0011593,0.5968154,44.0,Exclusive (Paris-London)
0.65,6.627317e-05,0.0016610187,0.6063798,44.0,Exclusive (Paris-London)
0.7000000000000001,4.635028e-05,0.0023252906,0.6173089,46.0,Exclusive (Paris-London)
0.75,3.194015e-05,0.0031792335,0.6287403,50.0,Exclusive (Paris-London)
0.8,2.1720745e-05,0.004243952,0.6382225,48.0,Exclusive (Paris-London)
0.8500000000000001,1.4603994e-05,0.0055319057,0.6478786,49.0,Exclusive (Paris-London)
0.9,9.729978e-06,0.007046129,0.6596791,49.0,Exclusive (Paris-London)
0.9500000000000001,6.4414917e-06,0.008781595,0.6728802,48.0,Exclusive (Paris-London)
1.0,4.250187e-06,0.0107287485,0.6808974,46.0,Exclusive (Paris-London)
0.0,0.00021325151,6.3737394e-07,0.44235525,51.0,Unrelated (Paris-Justice)
0.05,0.00021132844,2.1353706e-06,0.43112576,47.0,Unrelated (Paris-Justice)
0.1,0.00020477522,7.3659585e-06,0.47345093,41.0,Unrelated (Paris-Justice)
0.15000000000000002,0.00018745914,2.5184965e-05,0.5577182,38.0,Unrelated (Paris-Justice)
0.2,0.0001538197,8.058665e-05,0.67139906,37.0,Unrelated (Paris-Justice)
0.25,0.00010751298,0.00022793666,0.8086111,32.0,Unrelated (Paris-Justice)
0.30000000000000004,6.333555e-05,0.00055975554,0.8926949,31.0,Unrelated (Paris-Justice)
0.35000000000000003,3.267697e-05,0.0012297849,0.92169785,29.0,Unrelated (Paris-Justice)
0.4,1.5566651e-05,0.002524677,0.95146555,27.0,Unrelated (Paris-Justice)
0.45,7.124036e-06,0.004989039,0.9785514,28.0,Unrelated (Paris-Justice)
0.5,3.2057521e-06,0.009613616,1.0022199,26.0,Unrelated (Paris-Justice)
0.55,1.4359683e-06,0.018100828,1.02484,27.0,Unrelated (Paris-Justice)
0.6000000000000001,6.4374325e-07,0.033151343,1.043429,28.0,Unrelated (Paris-Justice)
0.65,2.887684e-07,0.05851115,1.0460747,31.0,Unrelated (Paris-Justice)
0.7000000000000001,1.2883321e-07,0.098117016,1.051167,33.0,Unrelated (Paris-Justice)
0.75,5.6471816e-08,0.15335636,1.0611134,34.0,Unrelated (Paris-Justice)
0.8,2.3914787e-08,0.21847583,0.9849394,33.0,Unrelated (Paris-Justice)
0.8500000000000001,9.62733e-09,0.27799422,0.8419137,39.0,Unrelated (Paris-Justice)
0.9,3.6530896e-09,0.31241414,0.729944,40.0,Unrelated (Paris-Justice)
0.9500000000000001,1.3101874e-09,0.310514,0.654653,43.0,Unrelated (Paris-Justice)
1.0,4.4926315e-10,0.27603826,0.6176987,45.0,Unrelated (Paris-Justice)
